SampleID,Cop_sp,Month ,Season,Temperature,NH4,Chla,PNEA,BA,BP,PP
SBF1,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBF2,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBF3,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBA1,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBA2,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBA3,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBJ1,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBJ2,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBJ3,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBO1,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
SBO2,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
SBO3,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
